4.6221,166.8295,3392194.1210,114.2815
4.6136,166.8285,3392193.4586,120.5414
4.6063,166.8276,3392193.8198,121.1802
4.5990,166.8267,3392198.8021,116.1979
4.5904,166.8257,3392192.5422,122.4578
4.5831,166.8248,3392190.9034,123.0966
4.5758,166.8239,3392189.2646,123.7354
4.5673,166.8228,3392194.2469,118.7531
4.5600,166.8219,3392196.6081,119.3919
4.5515,166.8209,3392194.9693,120.0307
4.5441,166.8200,3392195.3305,120.6695
4.5368,166.8191,3392190.0705,126.9295
4.5283,166.8181,3392196.0528,121.9472
4.5210,166.8172,3392196.4140,122.5860
4.5137,166.8163,3392189.1541,128.8459
4.5052,166.8153,3392195.1364,123.8636
4.4978,166.8144,3392187.8765,130.1235
4.4905,166.8135,3392192.8588,125.1412
4.4820,166.8124,3392188.5989,131.4011
4.4747,166.8116,3392187.9601,132.0399
4.4662,166.8105,3392192.9424,127.0576
4.4588,166.8096,3392192.3036,127.6964
4.4515,166.8087,3392194.6647,128.3353
4.4430,166.8077,3392194.0259,128.9741
4.4357,166.8068,3392193.3871,129.6129
4.4284,166.8059,3392193.7483,130.2517
4.4125,166.8040,3392188.1710,136.8290
4.4052,166.8031,3392193.1862,131.8138
4.3967,166.8021,3392186.9591,138.0409
4.3894,166.8012,3392191.9743,133.0257
4.3809,166.8001,3392191.3684,133.6316
4.3736,166.7992,3392191.7625,134.2375
4.3662,166.7984,3392185.5354,140.4646
4.3577,166.7973,3392183.9295,141.0705
4.3504,166.7964,3392187.9447,136.0553
4.3431,166.7955,3392187.3387,136.6613
4.3346,166.7945,3392187.7328,137.2672
4.3272,166.7936,3392186.1269,137.8731
4.3199,166.7927,3392186.5210,138.4790
4.3114,166.7917,3392190.9150,139.0850
4.3041,166.7908,3392186.3091,139.6909
4.2956,166.7897,3392186.7032,140.2968
4.2882,166.7889,3392189.7184,135.2816
4.2809,166.7880,3392183.4913,141.5087
4.2724,166.7869,3392179.2643,147.7357
4.2651,166.7860,3392184.2795,142.7205
4.2578,166.7851,3392189.2947,137.7053
4.2492,166.7841,3392184.0676,143.9324
4.2419,166.7832,3392183.4617,144.5383
4.2346,166.7823,3392181.8558,145.1442
4.2261,166.7813,3392188.2498,145.7502
4.2188,166.7804,3392187.6439,146.3561
4.2102,166.7794,3392183.7096,147.2904
4.2029,166.7785,3392188.4400,142.5600
4.1956,166.7776,3392211.0338,120.9662
4.1871,166.7765,3392184.0376,149.9624
4.1798,166.7757,3392188.7681,145.2319
4.1725,166.7748,3392184.8774,146.1226
4.1639,166.7737,3392179.3656,152.6344
4.1566,166.7728,3392186.0961,147.9039
4.1493,166.7719,3392185.2054,148.7946
4.1408,166.7709,3392185.3148,149.6852
4.1335,166.7700,3392185.4241,150.5759
4.1249,166.7690,3392182.5335,151.4665
4.1176,166.7681,3392175.0217,157.9783
4.1103,166.7672,3392179.7522,153.2478
4.1018,166.7662,3392181.8615,154.1385
4.0945,166.7653,3392175.3498,160.6502
4.0872,166.7644,3392173.4591,161.5409
4.0786,166.7633,3392178.1896,156.8104
4.0713,166.7625,3392176.2989,157.7011
4.0640,166.7616,3392176.4083,158.5917
4.0555,166.7605,3392175.5176,159.4824
4.0482,166.7596,3392171.0059,165.9941
4.0396,166.7586,3392175.7363,161.2637
4.0250,166.7568,3392169.4263,167.5737
4.0165,166.7558,3392176.1497,161.8503
4.0092,166.7549,3392176.2520,161.7480
4.0018,166.7540,3392175.3542,161.6458
3.9933,166.7530,3392175.4565,161.5435
3.9860,166.7521,3392182.1799,155.8201
3.9787,166.7512,3392178.6611,161.3389
3.9702,166.7501,3392172.1422,166.8578
3.9628,166.7492,3392176.8656,161.1344
3.9543,166.7482,3392177.9679,161.0321
3.9470,166.7473,3392180.0702,160.9298
3.9397,166.7464,3392181.1725,160.8275
3.9312,166.7454,3392182.2748,160.7252
3.9238,166.7445,3392176.7559,166.2441
3.9165,166.7436,3392177.8582,166.1418
3.9080,166.7426,3392178.9605,166.0395
3.9007,166.7417,3392179.4939,165.5061
3.8934,166.7408,3392181.0042,164.9958
3.8848,166.7398,3392185.5145,164.4855
3.8775,166.7389,3392197.2671,152.7329
3.8690,166.7378,3392187.5352,163.4648
3.8617,166.7369,3392190.0455,162.9545
3.8544,166.7360,3392193.1769,156.8231
3.8459,166.7350,3392191.6873,156.3127
3.8385,166.7341,3392186.5765,161.4235
3.8312,166.7332,3392192.7079,155.2921
3.8227,166.7322,3392194.2183,154.7817
3.8154,166.7313,3392195.7286,154.2714
3.8081,166.7304,3392195.2389,153.7611
3.7995,166.7294,3392196.7492,153.2508
3.7922,166.7285,3392197.2596,152.7404
3.7837,166.7274,3392192.1488,157.8512
3.7764,166.7266,3392199.2802,151.7198
3.7691,166.7257,3392199.4355,151.5645
3.7605,166.7246,3392200.4355,151.5645
3.7532,166.7237,3392200.4355,151.5645
3.7459,166.7228,3392200.4355,151.5645
3.7374,166.7218,3392200.4355,151.5645
3.7301,166.7209,3392195.8143,157.1857
3.7227,166.7200,3392201.4355,151.5645
3.7142,166.7190,3392195.8143,157.1857
3.7069,166.7181,3392202.4355,151.5645
3.6984,166.7171,3392196.8143,157.1857
3.6910,166.7162,3392197.2121,157.7879
3.6837,166.7153,3392196.6098,158.3902
3.6752,166.7142,3392201.6287,153.3713
3.6679,166.7134,3392201.0264,153.9736
3.6606,166.7125,3392200.4241,154.5759
3.6520,166.7114,3392201.8219,155.1781
3.6447,166.7105,3392199.5985,161.4015
3.6374,166.7096,3392204.6174,156.3826
3.6289,166.7086,3392189.7729,168.2271
3.6216,166.7077,3392204.4128,157.5872
3.6057,166.7058,3392201.7227,157.2773
3.5984,166.7049,3392201.1390,156.8610
3.5899,166.7039,3392201.5554,156.4446
3.5826,166.7030,3392196.3507,161.6493
3.5753,166.7021,3392203.3882,155.6118
3.5667,166.7010,3392197.1834,160.8166
3.5594,166.7002,3392204.2209,154.7791
3.5521,166.6993,3392199.0162,159.9838
3.5436,166.6982,3392205.0537,153.9463
3.5362,166.6973,3392205.6006,153.3994
3.5277,166.6963,3392201.1877,158.8123
3.5204,166.6954,3392207.0170,152.9830
3.5131,166.6945,3392207.2252,152.7748
3.5046,166.6935,3392208.4333,152.5667
3.4972,166.6926,3392209.6415,152.3585
3.4899,166.6917,3392209.8497,152.1503
3.4814,166.6907,3392210.0579,151.9421
3.4741,166.6898,3392211.2661,151.7339
